Account Name,Var 1,Var 2,Var 3,Var N,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021
1,North America,Financial Services,Enterprise,,"$953,074","$953,074","$953,074","$953,074","$953,074","$953,074","$953,074","$953,074","$953,074","$953,074","$953,074","$953,074","$1,048,381","$1,048,381","$1,048,381","$1,048,381","$1,048,381","$1,048,381","$1,048,381","$1,048,381","$1,048,381","$1,048,381","$1,048,381","$1,048,381",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,EMEA,Travel,Middle Market,,"$751,563",,"$751,563","$751,563","$751,563","$751,563","$751,563","$751,563","$751,563","$751,563","$751,563","$751,563","$826,719","$826,719","$826,719","$826,719","$826,719","$826,719","$826,719","$826,719","$826,719","$826,719","$826,719","$826,719",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,North America,Travel,Enterprise,,"$32,497","$32,497","$32,497","$32,497","$32,497","$32,497","$32,497","$32,497","$32,497","$32,497","$32,497","$32,497",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,APAC,Financial Services,SMB,,"$30,884","$30,884","$30,884","$30,884","$30,884","$30,884","$30,884","$30,884","$30,884","$30,884","$30,884","$30,884",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
5,APAC,Travel,SMB,,"$974,939","$974,939","$974,939","$974,939","$974,939","$974,939","$974,939","$974,939","$974,939","$974,939","$974,939","$974,939","$1,169,927","$1,169,927","$1,169,927","$1,169,927","$1,169,927","$1,169,927","$1,169,927","$1,169,927","$1,169,927","$1,169,927","$1,169,927","$1,169,927","$1,286,919","$1,286,919","$1,286,919","$1,286,919","$1,286,919","$1,286,919","$1,286,919","$1,286,919","$1,286,919","$1,286,919","$1,286,919","$1,286,919","$1,930,379","$1,930,379","$1,930,379","$1,930,379","$1,930,379"
6,APAC,Travel,Middle Market,,"$591,891","$591,891","$591,891","$591,891","$591,891","$591,891","$591,891","$591,891","$591,891","$591,891","$591,891","$591,891","$710,269","$710,269","$710,269","$710,269","$710,269","$710,269","$710,269","$710,269","$710,269","$710,269","$710,269","$710,269","$781,296","$781,296","$781,296","$781,296","$781,296","$781,296","$781,296","$781,296","$781,296","$781,296","$781,296","$781,296","$1,171,944","$1,171,944","$1,171,944","$1,171,944","$1,171,944"
7,APAC,Travel,Middle Market,,"$564,278","$564,278","$564,278","$564,278","$564,278","$564,278","$564,278","$564,278","$564,278","$564,278","$564,278","$564,278","$677,134","$677,134","$677,134","$677,134","$677,134","$677,134","$677,134","$677,134","$677,134","$677,134","$677,134","$677,134","$744,847","$744,847","$744,847","$744,847","$744,847","$744,847","$744,847","$744,847","$744,847","$744,847","$744,847","$744,847","$1,117,270","$1,117,270","$1,117,270","$1,117,270","$1,117,270"
8,APAC,Financial Services,SMB,,"$453,202","$453,202","$453,202","$453,202","$453,202","$453,202","$453,202","$453,202","$453,202","$453,202","$453,202","$453,202","$543,842","$543,842","$543,842","$543,842","$543,842","$543,842","$543,842","$543,842","$543,842","$543,842","$543,842","$543,842","$598,227","$598,227","$598,227","$598,227","$598,227","$598,227","$598,227","$598,227","$598,227","$598,227","$598,227","$598,227","$897,340","$897,340","$897,340","$897,340","$897,340"
9,EMEA,Financial Services,Middle Market,,"$242,154","$242,154","$242,154","$242,154","$242,154","$242,154","$242,154","$242,154","$242,154","$242,154","$242,154","$242,154","$205,831","$205,831","$205,831","$205,831","$205,831","$205,831","$205,831","$205,831","$205,831","$205,831","$205,831","$205,831","$226,414","$226,414","$226,414","$226,414","$226,414","$226,414","$226,414","$226,414","$226,414","$226,414","$226,414","$226,414","$339,621","$339,621","$339,621","$339,621","$339,621"
10,APAC,Travel,Middle Market,,"$69,311","$69,311","$69,311","$69,311","$69,311","$69,311","$69,311","$69,311","$69,311","$69,311","$69,311","$69,311","$58,914","$58,914","$58,914","$58,914","$58,914","$58,914","$58,914","$58,914","$58,914","$58,914","$58,914","$58,914","$64,806","$64,806","$64,806","$64,806","$64,806","$64,806","$64,806","$64,806","$64,806","$64,806","$64,806","$64,806","$97,209","$97,209","$97,209","$97,209","$97,209"
11,APAC,Travel,Middle Market,,"$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$619,163","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$526,289","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$947,319","$1,420,979","$1,420,979","$1,420,979","$1,420,979","$1,420,979"
